# ----------------------------------------
# ALL SITE
# AdWords Keywords
# 20160602-20170603
# ----------------------------------------

Keyword,Device Category,Clicks,Cost,CPC,Sessions,Bounce Rate,Pages / Session,Ecommerce Conversion Rate,Transactions,Revenue
dynamic search ads,mobile,"17,092","$5,346.38",$0.31,"21,874",40.04%,4.36,0.99%,216,"$36,398.64"
dynamic search ads,desktop,"11,688","$5,590.69",$0.48,"13,326",25.37%,6.78,2.61%,348,"$60,660.93"
hobo bags,mobile,"10,481","$3,361.18",$0.32,"14,592",31.89%,4.99,1.01%,148,"$25,512.35"
hobo bags,desktop,"8,760","$2,991.68",$0.34,"10,502",15.07%,8.21,3.15%,331,"$59,409.14"
hobobags,mobile,"5,459",$966.20,$0.18,"7,933",35.30%,4.99,0.86%,68,"$14,337.29"
+hobo +purses,mobile,"5,275","$1,748.55",$0.33,"6,449",48.94%,3.63,0.62%,40,"$8,724.47"
+hobo +wallets,mobile,"5,104","$1,683.94",$0.33,"6,838",35.00%,3.99,1.40%,96,"$12,827.41"
hobobags,desktop,"4,079","$1,113.29",$0.27,"4,924",17.08%,7.67,2.66%,131,"$26,841.46"
dynamic search ads,tablet,"3,871","$1,534.75",$0.40,"5,003",32.50%,6.29,1.20%,60,"$11,572.25"
+hobo wallet purse,mobile,"3,476",$944.03,$0.27,"4,751",32.31%,4.68,1.12%,53,"$6,820.93"
+hobo +wallets,desktop,"3,092","$1,226.44",$0.40,"3,522",14.45%,7.02,3.80%,134,"$15,338.47"
hobo bags,tablet,"2,941","$1,155.48",$0.39,"4,388",25.75%,7.32,2.26%,99,"$18,473.06"
hobo wallets,mobile,"2,792","$2,670.61",$0.96,"3,705",37.92%,3.97,0.92%,34,"$4,349.36"
hobo international handbags on sale,mobile,"2,404","$1,555.51",$0.65,"3,050",40.03%,4.30,1.31%,40,"$5,580.65"
+hobo +purses,desktop,"2,264",$957.26,$0.42,"2,663",27.86%,6.40,1.76%,47,"$10,049.86"
hobo bags sale,mobile,"2,223","$1,034.17",$0.47,"2,922",32.58%,4.60,0.75%,22,"$3,417.92"
